Week;Total;Hours;Activity;References;;;
45;12;1;Group meeting;- https://towardsdatascience.com/masked-language-modelling-with-bert-7d49793e5d2c;;;
;;1;Meeting with the professor;;;;
;;10;Read papers and last semester work;https://aclanthology.org/2021.acl-long.416/;https://arxiv.org/abs/2109.03646;https://aclanthology.org/2021.findings-acl.397.pdf;
47;1;1;Group meeting;;;;
48;1;1;Group meeting;;;;
49;14;2;Group meeting;;;;
;;1;Prepare Slide;https://docs.google.com/presentation/d/18aux0i2nmuUI0adr_0LSC4AZCtX2pPvLcOqcOBapZSs/edit#slide=id.p3;;;
;;1;Meeting with the professor;;;;
;;1;Group meeting;;;;
;;1;Create repository and doc;https://github.com/MaeSosto/Bias-detector;;;
;;4;Research;- https://www.youtube.com/watch?v=q9NS5WpfkrU&list=PLIUOU7oqGTLgQ7tCdDT0ARlRoh1127NSO;https://youtu.be/R6hcxMMOrPE;;
;;1;Setup environment;;;;
;;3;Test 1 and Test 2 commit;;;;
50;16;5;Research;https://youtu.be/1gN1snKBLP0;https://youtu.be/x1lAcT3xl5M;https://youtu.be/IC9FaVPKlYc;
;;10;Test 3-4-5;;;;
;;1;Group meeting;;;;
51;23;3;Research on MLM;https://www.youtube.com/watch?v=f2Zg997nw8g;;;
;;6;Study last semester project;;;;
;;3;Building the project guideline;;;;
;;10;Create main and evaluator for MLM;;;;
;;1;Group meeting;;;;
52;36;1;GPU settings for Apple;;;;
;;3;Research;https://www.youtube.com/watch?v=fxlr-OKzCos;;;
;;8;Fix intersentence algorithm;;;;
;;16;Intrasentence update;;;;
;;8;Fix inter sentence;;;;
1;60;16;Twitter scrapers and research;- https://medium.com/dataseries/how-to-scrape-millions-of-tweets-using-snscrape-195ee3594721;https://www.youtube.com/watch?v=PUMMCLrVn8A;;
;;1;Group meeting;;;;
;;8;Intrasentence train;;;;
;;3;Interstentence train;;;;
;;16;Sentiment analysis test;;;;
;;16;Compare prediction;https://gist.github.com/yuchenlin/a2f42d3c4378ed7b83de65c7a2222eb2;;;
2;22;6;File structure update and compare prediction development;;;;
;;6;Compare prediction fixed ;;;;
;;8;Create test graph and fix of the used models;;;;
;;2;Prepare Slide;;;;
3;10;1;Call with the professor;;;;
;;6;Sentiment analysis research;;;;
;;3;Compare prediction completed;;;;
;;4;Fill the datasets and compare results;;;;
4;10;5;Draw graph of intrasentence test;;;;
;;5;Adjustment;;;;
5;8;4;Adjustment on Intersentence test;;;;
;;2;Fill the datasets and compare results;;;;
;;2;Prepare Slide;;;;
;;;;;;;
;;;;;;;
TOT;213;;;;;;